Class,SubClass,SubclassCat,Command
NonBike,Not needed,NC,Play  uno/cards with me
NonBike,Not needed,NC,Participate in tree plantation drive
NonBike,Not needed,NC,Experiment and create DIY lamps
NonBike,Not needed,NC,Do stretching and yoga with me
NonBike,Not needed,NC,Participate in photography contest
NonBike,Not needed,NC,Create DIY skincare products
NonBike,Not needed,NC,Clean wipe the floor 
NonBike,Not needed,NC,Wash the bedsheets
NonBike,Not needed,NC,Give clothes for laundry
NonBike,Not needed,NC,Pay the dues 
NonBike,Not needed,NC,Check the Netflix/AmazonPrime/Disney/XYZ subscription due date
NonBike,Not needed,NC,Hange the new showpieces
NonBike,Not needed,NC,Repair the leaking pipe
NonBike,Not needed,NC,Bake a pizza for me
NonBike,Not needed,NC,Assemble a new copmuter for me
NonBike,Not needed,NC,Bring me some beer
NonBike,Not needed,NC,Make Coffee/Capuccino/Latte/Espresso/Tea/Green tea/XYZ
NonBike,Not needed,NC,Plan a vacation in XYZ
NonBike,Not needed,NC,Create DIY soap
NonBike,Not needed,NC,Search for new TV shows/cartoon/Web-series/movies/XYZ
NonBike,Not needed,NC,Play some TV shows/cartoon/Web-series/movies/XYZ
NonBike,Not needed,NC,Make/Try glass painting
NonBike,Not needed,NC,Buy new comics for me
NonBike,Not needed,NC,Try oil pastels drawings
NonBike,Not needed,NC,Make origami art
NonBike,Not needed,NC,Shop for new clothes
NonBike,Not needed,NC,Shop for new XYZ
NonBike,Not needed,NC,Order food from Zomato/Swiggy/XYZ
NonBike,Not needed,NC,Order Milk/eggs/fruits/vegetables/XYZ
NonBike,Not needed,NC,Book tickets for XYZ
NonBike,Not needed,NC,Make breakfast/lunch/dinner/snacks
NonBike,Not needed,NC,Pay electricity/gas/ XYZ bill
NonBike,Not needed,NC,Go for scuba diving
NonBike,Not needed,NC,Try organic farming
NonBike,Not needed,NC,Try app development
NonBike,Not needed,NC,Create machine learning models
NonBike,Not needed,NC,Research about dinosaurs
NonBike,Not needed,NC,Search about animals/birds/XYZ
NonBike,Not needed,NC,Search for deals on flipkart/amazon/XYZ
