Class,Subclass,SubclassCategory,Commands,Response,Label,Subclass_Label_Category
Bike,Edge,Battery/Fuel,What is my current battery level?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,How much range do I have left on my battery?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,When was the last time my battery was charged?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,How long until my battery is fully charged?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,How long should I charge my vehicle for a sufficient range?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,What's the charging status right now?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Can you provide a breakdown of energy consumption for my recent rides?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Can I receive notifications when my battery needs to be replaced or serviced?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Is there an option to track the historical performance of my battery over time?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Can I set reminders for regular battery health checkups or diagnostics?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Can I access detailed statistics on battery usage and efficiency?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Is there a feature to adjust power settings to conserve battery on long rides?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,How can I assess the impact of my riding style on battery longevity?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,Can I view a forecast of my battery's expected performance for upcoming rides?,Updating please wait,1,0
Bike,Edge,Battery/Fuel,How much battery life do I have left?,You currently have [percentage]% battery life remaining.,1,0
Bike,Edge,Battery/Fuel,Can you estimate my remaining range?,Your estimated remaining range is [range] miles/kilometers.,1,0
Bike,Edge,Battery/Fuel,When was my battery last charged?,Your battery was last charged on [date].,1,0
Bike,Edge,Battery/Fuel,How long will it take to fully charge my battery?,It will take approximately [time] to fully charge your battery.,1,0
Bike,Edge,Battery/Fuel,Is it safe to start a trip with my current battery level?,"Yes, it's safe to start your trip with your current battery level.",1,0
Bike,Edge,Battery/Fuel,What's the average range I get on a full charge?,The average range on a full charge is [range] miles/kilometers.,1,0
Bike,Edge,Battery/Fuel,How long should I charge my vehicle for sufficient range?,Charge your vehicle for approximately [time] for sufficient range.,1,0
Bike,Edge,Battery/Fuel,What's the current charging status?,The current charging status is [status].,1,0
Bike,Edge,Battery/Fuel,What's the optimal battery level for long-term health?,The optimal battery level for long-term health is between [range]% and [range]%.,1,0
Bike,Edge,Battery/Fuel,How does my battery level impact overall vehicle performance?,Your battery level affects overall vehicle performance; higher levels provide better performance.,1,0
Bike,Edge,Battery/Fuel,What's the expected lifespan of my vehicle's battery?,The expected lifespan of your vehicle's battery is approximately [years].,1,0
Bike,Edge,Battery/Fuel,How do I interpret the battery health indicator?,The battery health indicator shows the current health of your battery; [explanation].,1,0
Bike,Edge,Battery/Fuel,Can you recommend energy-efficient driving tips?,"Yes, I can recommend energy-efficient driving tips; [tips].",1,0
Bike,Edge,Battery/Fuel,Can I get a detailed report on my battery usage history?,"Yes, you can get a detailed report on your battery usage history.",1,0
Bike,Edge,Battery/Fuel,Can you provide an estimate of how far I can travel with my current battery level?,"Sure, I'll estimate the distance you can travel based on your current battery level.",1,0
Bike,Edge,Battery/Fuel,How does my battery's health impact my bike's performance?,Your battery's health affects your bike's performance; I'll explain how.,1,0
Bike,Edge,Battery/Fuel,Are there any recommended maintenance tasks for preserving battery life?,There are maintenance tasks to preserve battery life; I'll list them for you.,1,0
Bike,Edge,Battery/Fuel,Are there any energy-saving modes or settings I can enable?,"Yes, there are energy-saving modes and settings; I'll show you how to enable them.",1,0
Bike,Edge,Battery/Fuel,Can I check the history of my battery's charging cycles?,"Yes, you can check your battery's charging cycle history; I'll show you how.",1,0
Bike,Edge,Battery/Fuel,Is there a way to analyze my riding habits and their impact on battery life?,"Yes, you can analyze your riding habits and their impact on battery life; I'll explain how.",1,0
Bike,Edge,Battery/Fuel,Can I set preferences for charging thresholds to balance battery health and range?,"Yes, you can set preferences for charging thresholds; I'll guide you on how to do it.",1,0
Bike,Edge,Battery/Fuel,How does battery degradation vary based on different riding conditions?,Battery degradation varies based on riding conditions; I'll explain the differences.,1,0
Bike,Edge,Battery/Fuel,"How many charging cycles has my battery gone through, and how does that compare to its expected lifespan?",Your battery has gone through [number] charging cycles; I'll compare it to the expected lifespan.,1,0
Bike,Edge,Battery/Fuel,Can you provide insights into battery degradation over time?,"Yes, I can provide insights into how your battery degrades over time.",1,0
Bike,Edge,Battery/Fuel,Can you analyze my recent battery usage trends?,"Yes, I can analyze your recent battery usage trends to provide insights.",1,0
Bike,Edge,Battery/Fuel,How can I assess the health of my battery?,I'll provide you with methods to assess the health of your battery accurately.,1,0
Bike,Edge,Battery/Fuel,Can I optimize my driving habits to conserve battery?,"Yes, optimizing your driving habits can help conserve battery; I'll provide tips.",1,0
Bike,Edge,Battery/Fuel,Is there an eco mode that optimizes battery usage?,"Yes, there's an eco mode that optimizes battery usage for extended range.",1,0
Bike,Edge,Battery/Fuel,How do I recalibrate my battery for accurate range estimation?,I'll guide you through the process of recalibrating your battery for accurate range estimation.,1,0
Bike,Edge,Battery/Fuel,Can you recommend a charging strategy for long-term battery health?,"Yes, I'll recommend a charging strategy to optimize long-term battery health.",1,0
Bike,Edge,Battery/Fuel,How does my driving speed affect battery consumption?,Driving speed has a significant impact on battery consumption; I'll explain the correlation.,1,0
Bike,Edge,Battery/Fuel,Can you analyze my recent battery performance to identify any anomalies?,"Yes, I can analyze your recent battery performance and identify any anomalies.",1,0
Bike,Edge,Battery/Fuel,Can you recommend a battery maintenance schedule for optimal performance?,"Certainly, I'll recommend a battery maintenance schedule to ensure optimal performance and longevity.",1,0
Bike,Edge,Battery/Fuel,Check current Fuel Level,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Refuel,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Efficiency Report,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Reserve Fuel Activation,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Deactivate Reserve Fuel,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Tank Lock,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Unlock Fuel Tank,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Consumption History,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Low Fuel Warning,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Gauge Calibration,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Tank Ventilation,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Emergency Fuel Cut-Off,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Pump Activation,Processing your fuel related command please wait,1,0
Bike,Edge,Battery/Fuel,Fuel Injector Test,Processing your fuel related command please wait,1,0
