Class,Subclass,SubclassCategory,Commands,Response,Label
Bike,Not needed,Greetings,Hi TVS!,Hi,1
Bike,Not needed,Greetings,"Hello, Vehicle!",Hello,1
Bike,Not needed,Greetings,Good morning!,Good morning,1
Bike,Not needed,Greetings,Good afternoon!,Good afternoon,1
Bike,Not needed,Greetings,Good evening!,Good evening,1
Bike,Not needed,Greetings,"Hey, there!",Hello,1
Bike,Not needed,Greetings,"Greetings, Electric Companion!",Hi,1
Bike,Not needed,Greetings,"Hi, Bike!",Hello,1
Bike,Not needed,Greetings,"Welcome, Rider!",Thank you,1
Bike,Not needed,Greetings,Howdy!,Hi,1
Bike,Not needed,Greetings,"Bonjour, Electric Friend!",Hi,1
Bike,Not needed,Greetings,Salutations!,Hello,1
Bike,Not needed,Greetings,Rise and shine two wheeler!,My pleasure,1
Bike,Not needed,Greetings,Aloha!,Hi,1
Bike,Not needed,Greetings,"Hola, Amigo!",Hi,1
Bike,Not needed,Greetings,"Namaste, Two-Wheeler!",Namaste,1
Bike,Not needed,Greetings,"Hi, Electric Buddy!",Hello,1
Bike,Not needed,Greetings,"Cheers, Rider!",Cheese,1
Bike,Not needed,Greetings,"What's up, Bike?",Good pal,1
Bike,Not needed,Greetings,Ahoy!,Hii,1
Bike,Not needed,Greetings,"G'day, Electric Cruiser!",Good Day,1
Bike,Not needed,Greetings,Salute!,Hii,1
Bike,Not needed,Greetings,"Yo, Biker!",Hello,1
Bike,Not needed,Greetings,Hiya!,Hello,1
Bike,Not needed,Greetings,"Sup, Two-Wheel Wonder!",Thanks for the complement,1
Bike,Not needed,Greetings,"Hallo, Electric Pal!",Hii,1
Bike,Not needed,Greetings,"Shalom, Rider!",Hello,1
Bike,Not needed,Greetings,"How's it going, Bike?",Good,1
Bike,Not needed,Greetings,Welcome aboard!,Thank you,1
Bike,Not needed,Greetings,"Hi, Electric Explorer!",Hello,1
Bike,Not needed,Greetings,How are you? ,Fine. Thanks for asking,1
Bike,Not needed,Greetings,Hi Two wheeler!,Hello,1
Bike,Not needed,Greetings,"Greetin's, Rider!",Hii,1
Bike,Not needed,Greetings,"Hello, TVs!",Hello,1
Bike,Not needed,Greetings,"Hi there, TVs!",Hi,1
Bike,Not needed,Greetings,"Hey, TVs!",Hey,1
Bike,Not needed,Greetings,"Good morning, TVs!",Good morning,1
Bike,Not needed,Greetings,"Good afternoon, TVs!",Good afternoon,1
Bike,Not needed,Greetings,"Good evening, TVs!",Good evening,1
Bike,Not needed,Greetings,"Greetings, TVs!",Hi,1
Bike,Not needed,Greetings,"Howdy, TVs!",Hello,1
Bike,Not needed,Greetings,"Salutations, TVs!",Hii,1
Bike,Not needed,Greetings,"What's up, TVs?",Great,1
Bike,Not needed,Greetings,"How's it going, TVs?","Good, thanks for asking",1
Bike,Not needed,Greetings,"Hey there, TVs!",Hey,1
Bike,Not needed,Greetings,"Hello to you, TVs!",Hello,1
Bike,Not needed,Greetings,"Hi, TVs friend!",Hi,1
Bike,Not needed,Greetings,"Aloha, TVs!",Aloha,1
Bike,Not needed,Greetings,"Bonjour, TVs!",Bonjour,1
Bike,Not needed,Greetings,"Ciao, TVs!",Ciao,1
Bike,Not needed,Greetings,"Namaste, TVs!",Namaste,1
Bike,Not needed,Greetings,"Salaam, TVs!",Salaam,1
Bike,Not needed,Greetings,"Shalom, TVs!",Shalom,1
Bike,Not needed,Greetings,"Konnichiwa, TVs!",Konnichiwa,1
Bike,Not needed,Greetings,"Hola, TVs!",Hola,1
Bike,Not needed,Greetings,"G'day, TVs!",Good day,1
Bike,Not needed,Greetings,"What's cracking, TVs?",Hi,1
Bike,Not needed,Greetings,"Well met, TVs!",Thank you,1
Bike,Not needed,Greetings,"Good to see you, TVs!",Thank you,1
Bike,Not needed,Greetings,"It's a pleasure to meet you, TVs!",My pleasure,1
Bike,Not needed,Greetings,"Welcome, TVs!",Thank you,1
Bike,Not needed,Greetings,"How's everything, TVs?","Good, thanks for asking",1
Bike,Not needed,Greetings,"Top of the morning to you, TVs!",Hi,1
Bike,Not needed,Greetings,"Howdy-do, TVs!",Hi,1
Bike,Not needed,Greetings,"Hey, sunshine TVs!",Hey,1
Bike,Not needed,Greetings,"How goes it, TVs?",Hi,1
Bike,Not needed,Greetings,"Hey, TVs pal!",Hey friend,1
Bike,Not needed,Greetings,"Hey, TVs homie!",Hey,1
Bike,Not needed,Greetings,"Hi, TVs stranger!",Hi,1
Bike,Not needed,Greetings,"Long time no see, TVs!",Hello,1
Bike,Not needed,Greetings,"Hi, beautiful TVs!",Hi,1
Bike,Not needed,Greetings,"Hi, handsome TVs!",Thanks for the complement,1
Bike,Not needed,Greetings,"Good day to you, TVs!",My pleasure,1
Bike,Not needed,Greetings,"What's the good word, TVs?",Hello. Life is beautiful. Thanks for asking,1
Bike,Not needed,Greetings,"Hey, neighbor TVs!",Hi,1
Bike,Not needed,Greetings,"Hey, you TVs!",Hi,1
Bike,Not needed,Greetings,"Hey, good looking TVs!",Hey,1
Bike,Not needed,Greetings,"Hi, TVs team!",Hi,1
Bike,Not needed,Greetings,"Hey, TVs folks!",Hey,1
Bike,Not needed,Greetings,"Hey, TVs squad!",Hey,1
Bike,Not needed,Greetings,"Hi, TVs crew!",Hi,1
Bike,Not needed,Greetings,"Hello, TVs family!",Hello,1
Bike,Not needed,Greetings,"Yo, TVs!",Hello,1
Bike,Not needed,Greetings,"Sup, TVs?",Hi,1
Bike,Not needed,Greetings,"Hey, TVs superstar!",Hey,1
Bike,Not needed,Greetings,"Hi, TVs legend!",Hi,1
Bike,Not needed,Greetings,"How's life, TVs?","Good, thanks for asking",1
Bike,Not needed,Greetings,"Hey, TVs genius!",Hey,1
Bike,Not needed,Greetings,"Hello, TVs master!",Hello,1
Bike,Not needed,Greetings,"Greetings, TVs champion!",Hi,1
Bike,Not needed,Greetings,"Hey, TVs hero!",Hey,1
Bike,Not needed,Greetings,"Hi, TVs rockstar!",Hi,1
Bike,Not needed,Greetings,"What's new, TVs?",Hii,1
Bike,Not needed,Greetings,"Hey, TVs innovator!",Hey,1
Bike,Not needed,Greetings,"Hi, TVs maestro!",Hi,1
Bike,Not needed,Greetings,"Hello, TVs wizard!",Hello,1
Bike,Not needed,Greetings,"Hey, TVs virtuoso!",Hey,1
Bike,Not needed,Greetings,"Greetings, TVs guru!",Hello,1
Bike,Not needed,Greetings,"Hi, TVs artist!",Hi,1
Bike,Not needed,Greetings,"Hey, TVs magician!",Hey,1
Bike,Not needed,Temporary,Record a voice memo,You start recording a voice memo.,1
Bike,Not needed,NC,Perform a wheelie,Performing wheelies is unsafe and against traffic rules.,1
Bike,Not needed,NC,Perform a stoppie,Performing stoppies is unsafe and against traffic rules.,1
Bike,Not needed,NC,Check rearview mirrors,Ensure a clear view of traffic behind you.,1
Bike,Not needed,NC,Adjust side mirrors,Optimize your side mirrors for a better view.,1
Bike,Not needed,NC,Activate high beam,Use high beam headlights for improved visibility at night.,1
Bike,Not needed,NC,Perform a lane change,Signal check and change lanes safely.,1
Bike,Not needed,NC,Perform a controlled skid,Practice controlled skidding in a safe environment.,1
Bike,Not needed,NC,Perform a figure-eight maneuver,Practice maneuvering in tight spaces with a figure-eight.,1
Bike,Not needed,NC,Perform a smooth cornering technique,Master the art of smooth and controlled cornering.,1
Bike,Not needed,NC,Activate bike's wheelie control system,Use wheelie control for safer and controlled wheelies.,1
Bike,Not needed,NC,Perform a controlled stoppie,Practice controlled stoppies for advanced bike handling.,1
Bike,Not needed,NC,Perform a controlled drift,Practice controlled drifts in a controlled environment.,1
Bike,Not needed,NC,Perform a bike wheelie contest,Participate in a safe and controlled wheelie competition.,1
Bike,Not needed,NC,Perform an emergency maneuver,Practice swerving to avoid obstacles in emergency situations.,1
Bike,Not needed,NC,Perform a controlled burnout,Practice controlled burnouts for entertainment purposes only.,1
Bike,Not needed,NC,Perform a controlled stoppie on a curve,Practice controlled stoppies in curved paths for advanced handling.,1
Bike,Not needed,NC,Check for proper steering damper functionality,Ensure the steering damper is functioning correctly for stability.,1
Bike,Not needed,NC,Perform wheelie control sensitivity test,Adjust wheelie control sensitivity for personalized riding preferences.,1
Bike,Not needed,NC,Activate bike's dynamic steering damper,Utilize dynamic steering damper for automatic damping adjustments.,1
NonBike,Not needed,NC,Bake cookies in the oven,The oven is preheating. Let's bake some delicious cookies!,0
NonBike,Not needed,NC,Write a poem on nature,Embarking on a poetic journey to capture the beauty of nature.,0
NonBike,Not needed,NC,Calculate the square root of 144,The square root of 144 is 12.,0
NonBike,Not needed,NC,Paint a sunset landscape,Immerse yourself in painting a serene sunset landscape.,0
NonBike,Not needed,NC,Compose a jazz melody,Creating a soulful jazz melody that resonates with your emotions.,0
NonBike,Not needed,NC,Solve the Rubik's Cube,Let's solve the Rubik's Cube together. Ready for the challenge?,0
NonBike,Not needed,NC,Learn a magic trick,Prepare to be amazed as we delve into the secrets of a magical illusion.,0
NonBike,Not needed,NC,Identify constellations in the night sky,Exploring the night sky to identify fascinating constellations.,0
NonBike,Not needed,NC,Craft a handmade greeting card,Get ready to unleash your creativity in crafting a special greeting card.,0
NonBike,Not needed,NC,Write a short story about time travel,Embark on a literary adventure through the realms of time travel.,0
NonBike,Not needed,NC,Brew a cup of herbal tea,Infusing the soothing flavors of herbal tea for a calming experience.,0
NonBike,Not needed,NC,Learn a new language phrase,Mastering a new phrase to expand your linguistic repertoire.,0
NonBike,Not needed,NC,Sculpt a miniature clay sculpture,Channeling artistic expression into a miniature clay masterpiece.,0
NonBike,Not needed,NC,Research interesting facts about penguins,Discovering fascinating facts about the adorable world of penguins.,0
NonBike,Not needed,NC,Create a budget for monthly expenses,Strategizing a budget to manage monthly expenses effectively.,0
NonBike,Not needed,NC,Plan a virtual vacation to Antarctica,Embarking on a virtual journey to the icy landscapes of Antarctica.,0
NonBike,Not needed,NC,Memorize a famous speech,Committing a renowned speech to memory for eloquent recitation.,0
NonBike,Not needed,NC,Design a custom mobile app interface,Crafting a visually appealing and user-friendly mobile app interface.,0
NonBike,Not needed,NC,Learn a card trick to impress friends,Mastering a captivating card trick to dazzle and amaze friends.,0
NonBike,Not needed,NC,Build a birdhouse from scratch,Engaging in a woodworking project to create a cozy home for feathered friends.,0
NonBike,Not needed,NC,Explore mindfulness meditation techniques,Guiding through mindfulness meditation techniques for inner tranquility.,0
NonBike,Not needed,NC,Study the life cycle of a butterfly,Unraveling the fascinating stages of a butterfly's life cycle.,0
NonBike,Not needed,NC,Practice a yoga flow routine,Flowing through a rejuvenating yoga routine for physical and mental well-being.,0
NonBike,Not needed,NC,Analyze a famous piece of artwork,Delving into the analysis of a renowned piece of art to unveil its secrets.,0
NonBike,Not needed,NC,Cook a vegetarian stir-fry,Embarking on a culinary adventure to prepare a delicious vegetarian stir-fry.,0
NonBike,Not needed,NC,Learn a classic dance routine,Mastering the steps of a classic dance routine for rhythmic expression.,0
NonBike,Not needed,NC,Compose a haiku poem on solitude,Crafting a haiku that captures the essence of solitude in poetic form.,0
NonBike,Not needed,NC,Create a vision board for goals,Visualizing and manifesting aspirations through a personalized vision board.,0
NonBike,Not needed,NC,Planting a garden,Preparing the soil and planting a variety of flowers and vegetables.,0
NonBike,Not needed,NC,Write a computer program,Creating a computer program to solve a specific problem or perform a task.,0
