Class,Subclass,SubclassCategory,Commands,Response,Label,Subclass_Label_Category
Bike,Update,Cancel,Abort pending bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Abort pending bike system update,Aborting please wait,1,0
Bike,Update,Cancel,Abort software update for bike,Aborting please wait,1,0
Bike,Update,Cancel,Cancel bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Cancel bike software update process,Aborting please wait,1,0
Bike,Update,Cancel,Cancel bike system update process,Aborting please wait,1,0
Bike,Update,Cancel,Cancel pending bike software update,Aborting please wait,1,0
Bike,Update,Cancel,Cancel scheduled bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Cancel scheduled bike system update,Aborting please wait,1,0
Bike,Update,Cancel,Halt bike firmware update process,Aborting please wait,1,0
Bike,Update,Cancel,Halt bike system update procedure,Aborting please wait,1,0
Bike,Update,Cancel,Halt bike system update process,Aborting please wait,1,0
Bike,Update,Cancel,Stop bike firmware upgrade process,Aborting please wait,1,0
Bike,Update,Cancel,Stop ongoing bike software upgrade,Aborting please wait,1,0
Bike,Update,Cancel,Stop ongoing bike system upgrade,Aborting please wait,1,0
Bike,Update,Cancel,Terminate bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Terminate pending bike software update,Aborting please wait,1,0
Bike,Update,Cancel,Terminate pending bike system update,Aborting please wait,1,0
Bike,Update,Cancel,Cease ongoing bike software update,Aborting please wait,1,0
Bike,Update,Cancel,Cease bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Cease ongoing bike system upgrade,Aborting please wait,1,0
Bike,Update,Cancel,Cease pending bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Cease pending bike software update,Aborting please wait,1,0
Bike,Update,Cancel,Cease pending bike system update,Aborting please wait,1,0
Bike,Update,Cancel,Cease scheduled bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Cease scheduled bike system update,Aborting please wait,1,0
Bike,Update,Cancel,End bike firmware update process,Aborting please wait,1,0
Bike,Update,Cancel,End bike software update process,Aborting please wait,1,0
Bike,Update,Cancel,End bike system update process,Aborting please wait,1,0
Bike,Update,Cancel,Halt ongoing bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Halt ongoing bike software update,Aborting please wait,1,0
Bike,Update,Cancel,Halt ongoing bike system update,Aborting please wait,1,0
Bike,Update,Cancel,Halt pending bike firmware update,Aborting please wait,1,0
Bike,Update,Cancel,Halt pending bike software update,Aborting please wait,1,0
Bike,Update,Cancel,Halt pending bike system update,Aborting please wait,1,0
